samples,min_raw,median_price,q1_price,avg_price,max_price,fraction_low,low_threshold,low_count,normal_min,decision,cutoff,articulum
35,450.0,7520.0,3508.0,8841.714285714286,21223.0,0.22857142857142856,3008.0,8,2679.0,filtered_outliers,2104.7999999999997,06K103171P
144,500.0,9900.0,4017.75,10905.902777777777,49500.0,0.2361111111111111,3960.0,34,2680.0,filtered_outliers,2475.0,A2213306400
41,888.0,3890.0,3510.0,5361.048780487805,14024.0,0.04878048780487805,1556.0,2,2694.0,filtered_outliers,2106.0,06E121045BB
157,760.0,5000.0,3400.0,6025.070063694267,26500.0,0.1464968152866242,2000.0,23,2700.0,filtered_outliers,2040.0,A2113560000
113,870.0,5499.0,4057.0,9802.212389380531,169000.0,0.04424778761061947,2199.6,5,2700.0,filtered_outliers,2434.2,8W0615301T
38,500.0,5000.0,3570.0,7094.473684210527,32184.0,0.15789473684210525,2000.0,6,2700.0,filtered_outliers,2142.0,A0034205283
70,600.0,4230.0,3500.0,5585.4,13000.0,0.1,1692.0,7,2790.0,filtered_outliers,2100.0,A2760100331
75,600.0,8000.0,4600.0,11682.853333333333,131375.0,0.14666666666666667,3200.0,11,2800.0,filtered_outliers,2760.0,A6420701987
57,500.0,8301.0,4275.0,7737.105263157895,16600.0,0.15789473684210525,3320.4,9,2800.0,filtered_outliers,2565.0,3Q0698451L
31,275.0,5880.0,3406.5,7309.774193548387,16833.0,0.06451612903225806,2352.0,2,2850.0,filtered_outliers,2043.8999999999999,022103515B
192,12.0,5800.0,4200.0,9516.796875,95000.0,0.041666666666666664,2320.0,8,2850.0,filtered_outliers,2520.0,5Q0121251HC
31,680.0,9025.0,4350.0,10296.387096774193,27854.0,0.1935483870967742,3610.0,6,2850.0,filtered_outliers,2610.0,04L121011P
38,340.0,7456.5,4620.0,7084.1578947368425,18782.0,0.13157894736842105,2982.6000000000004,5,2886.0,filtered_outliers,2772.0,059103161T
67,999.0,8075.0,4500.0,15225.402985074626,47650.0,0.16417910447761194,3230.0,11,2900.0,filtered_outliers,2700.0,A6450900048
40,860.0,6015.5,4600.0,21367.725,550000.0,0.1,2406.2000000000003,4,2935.0,filtered_outliers,2760.0,06E103547F
