articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000
A2722000901,128,680,8638.0,8804.1640625000000000,43719,4,7
A2032700089,23,680,1670.0,9833.0434782608695652,40028,11,13
A1664230700,123,680,7514.0,9549.1869918699186992,45000,3,6
A2782000570,132,680,5017.5,6167.2424242424242424,25950,13,34
A1663260365,86,680,3000.0,6092.8953488372093023,32400,6,38
7P0121407B,113,680,3000.0,3716.4513274336283186,26370,14,37
28373FG000,224,680,4000.0,5407.3705357142857143,41760,2,13
A6510900005,57,680,2500.0,15583.017543859649,4.0E+5,6,22
A2741880101,84,680,2825.0,5041.4761904761904762,17537,5,32
04L121011P,31,680,9025.0,10296.3870967741935484,27854,3,3
A6512002170,73,680,2400.0,5039.6849315068493151,17303,19,30
A2053305901,102,680,8816.0,12228.509803921569,73000,3,3
A1664700490,75,681,5000.0,9254.5200000000000000,34363,6,18
A0091535028,83,681,4800.0,5615.6746987951807229,15598,5,9
LR035493,134,690,7585.0,9042.0298507462686567,32880,2,15
A0009054603,75,700,20000.0,31027.133333333333,130136,3,4
A2720500003,31,700,14365.0,14061.806451612903,34344,3,7
A0009056503,187,700,2500.0,4153.4973262032085561,4E+4,8,81
09D300038K,81,700,36899.0,38250.925925925926,120600,2,3
A0009053303,49,700,21200.0,29186.755102040816,88569,2,2
03L130277Q,152,700,11862.5,11645.032894736842,125105,1,3
8M0033407,21,700,12000.0,18908.333333333333,105000,6,6
LR005254,24,700,15781.5,14167.083333333333,29302,1,1
A1665001091,67,700,5775.0,5487.0746268656716418,15730,9,17
LR016139,41,700,15106.0,13410.536585365854,34660,2,3
A1648690421,81,700,3000.0,5472.0370370370370370,23050,11,24
TDR000120,30,702,4222.0,5748.0666666666666667,23951,4,7
LR002916,92,706,3550.0,5764.9239130434782609,29838,4,28
8K0615601M,147,720,2700.0,4013.4353741496598639,24614,12,54
A0995003500,198,720,13500.0,38306.676767676768,717000,1,1
A0009050401,50,720,6250.0,10532.320000000000,33070,8,13
A1668856625,64,721,15000.0,28694.515625000000,95500,7,9
WGC500150,19,721,12000.0,11577.631578947368,18047,1,1
A2126200191,91,722,10440.0,14970.758241758242,140300,5,11
LR022688,67,722,13202.0,11831.044776119403,24500,1,1
S671090312,131,722,2590.0,12312.732824427481,355300,6,49
03C105209AQ,103,750,5500.0,6791.7669902912621359,35000,13,22
06J133201AR,44,750,15041.5,17663.454545454545,39789,1,1
06L121111,95,750,11400.0,14221.168421052632,52240,1,4
A2732000201,161,760,7635.0,8146.9130434782608696,78744,6,27
A2113560000,157,760,5000.0,6025.0700636942675159,26500,7,23
A1678804000,34,760,4225.0,6339.2058823529411765,24280,1,3
A1663300107,201,767,9879.0,11855.074626865672,55146,4,6
059903133R,46,769,5851.0,7866.3043478260869565,2E+4,1,1
5Q0698151,31,770,3858.0,6186.7419354838709677,16100,1,4
A0004203105,75,773,4970.0,7486.3466666666666667,30790,3,9
A0009935876,52,781,13100.0,13656.961538461538,41100,1,1
8K0615301,126,783,4029.0,6447.4761904761904762,45100,2,14
A1668800506,73,790,14880.0,19105.904109589041,78000,3,4
A2213205513,224,798,13500.0,17070.397321428571,318978,1,1
4M0407505B,187,800,3953.0,9011.0802139037433155,1.1E+5,3,13
4G8880204F,41,800,6300.0,10339.536585365854,75000,1,1
LR020548,33,800,5000.0,9478.0606060606060606,39150,6,7
A1665010265,60,800,3601.0,4855.0333333333333333,15491,12,16
A1644211312,98,800,7320.0,9281.4285714285714286,35000,4,7
A1643206013,179,800,12500.0,13956.162011173184,115570,4,4
LR098788,56,800,17090.0,24150.714285714286,85050,1,1
A0999064601,85,800,5000.0,8289.4117647058823529,4E+4,2,8
06H198205N,69,800,17910.0,24109.420289855072,115200,1,2
LR066429,88,800,6144.5,9229.9659090909090909,36900,2,8
A0009931078,167,800,17575.0,20683.455089820359,96774,3,4
A0009063000,101,800,13500.0,13784.534653465347,27668,1,1
A0009059704,112,800,2820.0,9186.8392857142857143,2.3E+5,4,24
A4639063601,46,800,30499.5,42186.065217391304,367500,1,2
LR052387,51,800,26999.0,42849.058823529412,189566,1,1
A-6421540402,136,800,12999.0,20779.176470588235,144000,1,1
LR036058,62,800,11164.5,10825.161290322581,20879,2,2
A0002309111,51,800,18000.0,24020.176470588235,161851,1,2
8W0615601K,132,800,13634.0,17741.234848484848,2.7E+5,3,11
LR033534,47,800,3260.0,4908.8510638297872340,15388,3,16
13537585261,118,800,10500.0,15436.389830508475,120978,1,3
LR002625,73,800,7300.0,7526.7945205479452055,17575,4,8
